
vl=VLMAX ta ma

add,0.62,0.62,0.62,0.62,0.51,0.54,1.00,,0.62,0.62,0.62,0.51,0.54,1.00,,,0.62,0.62,0.51,0.54,1.00,,,,0.62,0.51,0.54,1.00,
mul,3.50,3.50,3.50,3.50,3.50,3.00,3.00,,3.50,3.50,3.50,3.50,3.00,3.00,,,3.50,3.50,3.50,3.00,3.00,,,,3.50,3.50,3.00,3.00,
vadd.vv,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vadd.vx,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vadd.vi,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vsub.vv,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vsub.vx,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vrsub.vx,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vrsub.vi,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vminu.vv,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vminu.vx,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vmin.vv,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vmin.vx,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vmaxu.vv,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vmaxu.vx,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vmax.vv,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vmax.vx,1.00,1.00,1.00,1.00,2.00,4.00,8.00,,1.00,1.00,1.00,2.00,4.00,8.00,,,1.00,1.00,2.00,4.00,8.00,,,,1.00,2.00,4.00,8.00,
vand.vv,1.00,1.00,1.00,2.00,4.00,8.00,16.00,,1.00,1.00,2.00,4.00,8.00,16.00,,,1.00,2.00,4.00,8.00,16.00,,,,2.00,4.00,8.00,16.00,
vand.vx,1.00,1.00,1.00,2.00,4.00,8.00,16.00,,1.00,1.00,2.00,4.00,8.00,16.00,,,1.00,2.00,4.00,8.00,16.00,,,,2.00,4.00,8.00,16.00,
vand.vi,1.00,1.00,1.00,2.00,4.00,8.00,16.00,,1.00,1.00,2.00,4.00,8.00,16.00,,,1.00,2.00,4.00,8.00,16.00,,,,2.00,4.00,8.00,16.00,
vor.vv,1.00,1.00,1.00,2.00,4.00,8.00,16.00,,1.00,1.00,2.00,4.00,8.00,16.00,,,1.00,2.00,4.00,8.00,16.00,,,,2.00,4.00,8.00,16.00,
vor.vx,1.00,1.00,1.00,2.00,4.00,8.00,16.00,,1.00,1.00,2.00,4.00,8.00,16.00,,,1.00,2.00,4.00,8.00,16.00,,,,2.00,4.00,8.00,16.00,
vor.vi,1.00,1.00,1.00,2.00,4.00,8.00,16.00,,1.00,1.00,2.00,4.00,8.00,16.00,,,1.00,2.00,4.00,8.00,16.00,,,,2.00,4.00,8.00,16.00,
vxor.vv,1.00,1.00,1.00,2.00,4.00,8.00,16.00,,1.00,1.00,2.00,4.00,8.00,16.00,,,1.00,2.00,4.00,8.00,16.00,,,,2.00,4.00,8.00,16.00,
vxor.vx,1.00,1.00,1.00,2.00,4.00,8.00,16.00,,1.00,1.00,2.00,4.00,8.00,16.00,,,1.00,2.00,4.00,8.00,16.00,,,,2.00,4.00,8.00,16.00,
